date,open,high,low,close,volume
2023-09-04,255.3,266.95,249.0,253.45,99246736.0
2023-09-05,257.0,260.0,253.0,255.05,47127078.0
2023-09-06,247.0,259.8,246.05,252.85,225413157.0
2023-09-07,252.0,257.3,251.25,251.8,43856832.0
2023-09-08,254.0,255.0,249.5,253.2,36090005.0
2023-09-11,256.95,257.7,250.0,250.15,24982858.0
2023-09-12,251.75,252.0,240.9,244.25,39500716.0
2023-09-13,244.8,247.8,236.6,240.2,27810990.0
2023-09-14,242.0,244.55,241.25,242.55,14055236.0
2023-09-15,243.8,244.65,237.65,239.4,27416106.0
2023-09-18,240.0,240.85,232.1,233.2,24694419.0
2023-09-20,230.4,232.0,229.0,229.65,18317607.0
2023-09-21,230.0,235.6,226.8,227.65,33101551.0
2023-09-22,227.95,232.25,226.35,227.8,38327554.0
2023-09-25,230.0,230.85,227.5,229.75,13392150.0
2023-09-26,231.1,231.7,230.0,230.4,8058261.0
2023-09-27,231.2,231.2,227.0,227.35,10984321.0
2023-09-28,228.0,228.85,224.75,225.05,9143582.0
2023-09-29,225.9,232.9,225.0,231.2,12411231.0
2023-10-03,231.5,233.9,230.55,231.4,13185432.0
2023-10-04,230.0,230.0,223.5,224.65,23296548.0
2023-10-05,225.9,227.9,224.2,225.4,13894930.0
2023-10-06,226.5,227.65,223.7,225.1,7531900.0
2023-10-09,223.0,223.0,218.85,219.65,9696908.0
2023-10-10,221.0,223.9,219.75,220.15,10451289.0
2023-10-11,222.0,227.7,220.6,225.1,11765082.0
2023-10-12,227.0,227.4,224.75,225.15,7780605.0
2023-10-13,224.0,225.9,222.0,224.55,10137218.0
2023-10-16,224.9,225.95,224.0,224.8,10850724.0
2023-10-17,231.5,233.0,220.5,220.95,34190044.0
2023-10-18,221.6,222.9,215.55,216.0,27712062.0
2023-10-19,216.0,216.0,209.05,214.2,42127110.0
2023-10-20,215.5,217.0,213.0,214.2,11101464.0
2023-10-23,214.0,214.2,204.25,206.6,17817781.0
2023-10-25,206.6,211.8,206.5,210.15,22079260.0
2023-10-26,208.0,217.0,206.45,215.85,23734035.0
2023-10-27,219.6,225.6,216.45,222.9,20929447.0
2023-10-30,224.5,226.2,218.15,219.0,13508666.0
2023-10-31,222.0,223.2,215.55,219.0,17538202.0
2023-11-01,216.0,222.05,215.3,217.65,15862624.0
2023-11-02,218.5,219.6,216.7,217.35,13261567.0
2023-11-03,219.0,220.65,217.65,219.05,8569115.0
2023-11-06,220.4,220.7,216.75,217.15,11494092.0
2023-11-07,217.9,218.8,216.5,217.2,7558170.0
2023-11-08,217.8,217.9,213.8,214.15,17101608.0
2023-11-09,214.85,217.7,214.85,215.15,17250096.0
2023-11-10,214.85,222.95,214.35,221.95,18467219.0
2023-11-13,223.0,225.9,222.25,224.75,12086991.0
2023-11-15,226.95,227.35,223.2,224.15,15782001.0
2023-11-16,225.5,229.3,223.85,226.95,17856032.0
2023-11-17,226.0,226.0,220.4,220.8,19607105.0
2023-11-20,221.75,221.75,215.05,215.5,20403368.0
2023-11-21,217.4,223.15,216.55,220.2,25625463.0
2023-11-22,219.7,223.4,218.5,221.9,15012272.0
2023-11-23,222.5,223.25,219.6,221.25,11267951.0
2023-11-24,221.9,227.85,220.5,226.5,31420610.0
2023-11-28,228.05,232.3,225.3,226.35,25668670.0
2023-11-29,229.35,229.35,224.2,226.05,14007708.0
2023-11-30,226.05,231.8,222.65,229.4,45432216.0
2023-12-01,231.45,231.6,224.85,225.5,17634910.0
2023-12-04,229.75,232.0,227.9,230.1,21079668.0
2023-12-05,231.0,246.0,229.4,242.5,60847483.0
2023-12-06,244.9,251.6,243.0,247.05,45262704.0
2023-12-07,249.0,250.7,245.1,249.15,23000400.0
2023-12-08,249.0,250.5,240.0,244.25,19056798.0
2023-12-11,244.85,247.0,243.05,245.6,8875953.0
2023-12-12,246.05,247.3,238.3,240.55,12749596.0
2023-12-13,242.0,242.4,235.35,239.75,13774944.0
2023-12-14,242.9,243.75,238.05,238.6,14352896.0
2023-12-15,240.0,242.6,236.4,237.65,26225287.0
2023-12-18,241.0,242.2,237.6,240.15,17001755.0
2023-12-19,240.3,240.8,237.9,238.3,13053454.0
2023-12-20,238.9,248.2,230.05,232.1,44628843.0
2023-12-21,230.85,238.7,229.0,238.0,17015304.0
2023-12-22,238.75,239.75,234.6,236.75,10871312.0
2023-12-26,237.25,238.0,233.7,234.7,11865886.0
2023-12-27,236.0,237.25,233.0,234.0,12430460.0
2023-12-28,235.0,236.35,232.55,233.35,10533952.0
2023-12-29,233.9,235.2,232.25,232.95,11614923.0
2024-01-01,233.35,236.4,233.3,234.55,7919961.0
2024-01-02,235.0,236.0,232.0,235.35,9216592.0
2024-01-03,235.4,236.0,233.55,234.5,9864949.0
2024-01-04,238.85,243.25,236.8,241.4,32808937.0
2024-01-05,244.5,248.2,241.5,243.65,29722064.0
2024-01-08,246.85,246.9,240.3,242.4,21118013.0
2024-01-09,243.9,244.65,241.5,242.15,10689245.0
2024-01-10,242.0,242.3,239.3,240.95,11798543.0
2024-01-11,243.0,253.4,240.65,251.55,45792818.0
2024-01-12,255.0,259.35,253.7,255.05,46763296.0
2024-01-15,258.0,269.7,257.05,266.75,68617372.0
2024-01-16,254.1,258.0,246.5,248.85,70456857.0
2024-01-17,247.0,247.0,242.15,242.55,28318086.0
2024-01-18,243.45,247.9,239.05,243.25,24804800.0
2024-01-19,245.85,249.15,245.4,246.25,16563079.0
2024-01-23,247.85,248.05,240.0,240.4,13184700.0
2024-01-24,240.0,241.55,237.1,239.75,15276800.0
2024-01-25,240.4,242.65,238.9,239.85,12352497.0
2024-01-29,242.0,254.4,240.0,251.0,41148261.0
2024-01-30,253.15,253.95,247.1,247.7,15292451.0
2024-01-31,247.65,250.6,246.1,248.25,15183900.0
2024-02-01,251.0,254.7,249.2,252.4,24323325.0
2024-02-02,252.5,257.3,250.6,253.8,30218956.0
2024-02-05,256.35,295.7,255.7,289.1,211028604.0
2024-02-06,285.7,285.7,266.05,270.95,86635613.0
2024-02-07,273.45,275.7,267.4,268.5,30963705.0
2024-02-08,270.0,270.4,261.95,262.8,21948925.0
2024-02-09,264.4,276.3,258.4,273.0,51120889.0
2024-02-12,276.1,281.1,267.7,271.45,47043875.0
2024-02-13,270.45,275.4,263.7,272.75,31220101.0
2024-02-14,269.9,275.0,268.55,273.0,21374190.0
2024-02-15,275.0,279.0,273.0,274.05,19477720.0
2024-02-16,275.3,276.75,271.0,271.9,14337059.0
2024-02-19,273.25,277.1,271.9,274.0,18390283.0
2024-02-20,274.2,289.3,273.6,281.7,55688591.0
2024-02-21,284.0,294.5,283.2,290.1,64130106.0
2024-02-22,291.7,305.3,291.1,302.85,75689296.0
2024-02-23,305.8,347.0,305.35,333.95,270077122.0
2024-02-26,340.45,348.0,325.75,327.8,107359705.0
2024-02-27,329.3,338.7,316.55,318.5,57002014.0
2024-02-28,320.0,322.45,306.05,308.3,48176158.0
2024-02-29,312.0,322.0,308.0,310.0,81356675.0
2024-03-01,313.5,321.6,311.55,317.9,37623310.0
2024-03-04,329.95,331.5,320.6,322.6,24183886.0
2024-03-05,324.0,327.9,319.5,321.7,18301432.0
2024-03-06,322.95,333.9,321.35,326.35,53717380.0
2024-03-07,329.0,337.4,324.2,333.9,35988723.0
2024-03-11,336.9,359.85,332.45,355.65,121739384.0
2024-03-12,360.0,374.5,358.75,361.85,111054091.0
2024-03-13,363.7,366.9,324.5,328.2,99102083.0
2024-03-14,328.0,341.5,318.0,338.35,74698602.0
2024-03-15,340.0,348.85,336.45,344.75,55087417.0
2024-03-18,346.95,359.7,342.5,352.55,48365406.0
2024-03-19,353.4,357.9,347.0,353.3,42007913.0
2024-03-20,353.3,356.35,335.65,337.5,50983696.0
2024-03-21,344.5,348.3,337.1,338.7,28731856.0
2024-03-22,338.0,346.9,336.7,344.65,20548126.0
2024-03-26,345.0,352.5,343.55,346.15,27168989.0
2024-03-27,348.25,355.6,348.0,350.7,50090709.0
2024-03-28,354.85,357.75,350.4,353.75,22677067.0
2024-04-01,357.0,364.2,355.6,356.95,23644472.0
2024-04-02,359.0,362.85,356.5,357.1,29684726.0
2024-04-03,356.5,359.8,353.2,357.1,17920490.0
2024-04-04,359.4,367.8,358.0,361.3,33926426.0
2024-04-05,361.0,374.85,359.05,373.2,46979676.0
2024-04-08,376.0,378.7,367.55,369.25,32853747.0
2024-04-09,371.0,374.7,365.4,367.7,23367026.0
2024-04-10,369.65,372.4,367.55,370.45,16540320.0
2024-04-12,370.15,378.85,368.2,372.2,32481005.0
2024-04-15,362.0,362.95,351.0,354.3,46281481.0
2024-04-16,364.9,371.95,360.1,361.85,48921026.0
2024-04-18,369.15,384.4,367.0,378.4,75356224.0
2024-04-19,378.0,378.1,368.65,370.1,39515729.0
2024-04-22,378.0,384.85,375.25,382.7,48640726.0
2024-04-23,387.0,394.7,385.0,387.95,35550933.0
2024-04-24,390.7,391.5,379.5,381.85,27660953.0
2024-04-25,381.85,387.35,380.25,382.3,17043110.0
2024-04-26,384.3,384.85,380.55,381.75,14131318.0
2024-04-29,383.6,384.75,378.05,380.5,16136167.0
2024-04-30,380.5,383.8,375.5,377.0,16844939.0
2024-05-02,377.0,381.35,372.5,379.65,19658857.0
2024-05-03,380.55,385.85,374.35,375.9,21862922.0
2024-05-06,378.1,378.9,367.8,370.25,13990739.0
2024-05-07,370.25,370.7,353.6,356.25,29499389.0
2024-05-08,355.0,363.8,352.1,355.2,20022506.0
2024-05-09,357.0,359.25,344.6,345.4,23209803.0
2024-05-10,346.4,349.0,336.8,347.85,24450324.0
2024-05-13,347.85,347.9,335.4,341.35,20674537.0
2024-05-14,344.0,353.7,342.2,352.45,19646171.0
2024-05-15,354.05,358.8,351.3,353.85,16860136.0
2024-05-16,356.4,359.15,352.4,355.05,12290684.0
2024-05-17,357.0,358.4,355.0,357.2,8815474.0
2024-05-21,361.0,362.2,355.75,357.75,11792817.0
2024-05-22,359.0,360.7,355.2,357.65,12042414.0
2024-05-23,357.65,376.0,357.4,367.75,37524603.0
2024-05-24,368.5,370.7,364.2,365.4,18501102.0
2024-05-27,368.0,368.6,359.15,360.05,15955078.0
2024-05-28,361.0,363.75,355.25,356.85,9228162.0
2024-05-29,355.0,356.15,348.1,349.2,15141731.0
2024-05-30,348.75,351.5,346.5,347.75,9873346.0
2024-05-31,355.05,357.9,342.1,344.35,34213953.0
2024-06-03,368.0,368.0,353.8,356.1,24058623.0
2024-06-04,358.0,358.0,307.3,332.95,59211461.0
2024-06-05,339.0,347.9,327.0,345.6,24785002.0
2024-06-06,350.0,352.8,348.05,349.4,16246617.0
2024-06-07,349.7,355.35,347.0,353.15,22668347.0
2024-06-10,355.25,357.35,348.7,350.35,15670416.0
2024-06-11,351.75,354.5,349.55,350.25,12762033.0
2024-06-12,351.95,363.5,351.55,360.95,29997548.0
2024-06-13,365.0,366.4,358.2,360.8,27424843.0
2024-06-14,362.0,362.75,356.1,357.0,19858187.0
2024-06-18,358.75,365.0,357.6,363.2,22666205.0
2024-06-19,363.95,363.95,357.05,358.3,15717813.0
2024-06-20,358.9,368.3,358.0,365.55,33575312.0
2024-06-21,366.0,366.8,359.15,360.9,21075778.0
2024-06-24,356.0,356.4,352.3,355.35,16858520.0
2024-06-25,356.95,362.5,356.25,359.05,13212387.0
2024-06-26,358.95,359.7,353.15,356.25,27206818.0
2024-06-27,356.25,358.4,348.0,353.6,18689181.0
2024-06-28,357.0,362.0,355.4,358.15,23411225.0
2024-07-01,358.15,358.4,352.05,352.8,15688767.0
2024-07-02,353.2,355.45,350.0,351.0,12146516.0
2024-07-03,353.0,356.4,349.7,351.3,12102104.0
2024-07-04,352.0,356.85,350.3,350.85,11944846.0
2024-07-05,350.85,354.8,349.1,352.75,15513571.0
2024-07-08,353.0,353.55,347.2,348.3,11525948.0
2024-07-09,349.1,353.7,348.55,349.85,8908509.0
2024-07-10,350.4,350.9,344.1,347.95,11556794.0
2024-07-11,349.5,351.35,347.0,348.05,8045640.0
2024-07-12,354.5,356.4,350.0,350.35,16327807.0
2024-07-15,354.3,356.7,351.7,355.4,15488346.0
2024-07-16,350.0,350.35,343.1,344.25,25005251.0
2024-07-18,345.6,346.15,336.0,337.0,25188963.0
2024-07-19,337.05,342.0,332.05,338.75,15349322.0
2024-07-22,338.75,343.0,334.3,340.95,12279130.0
2024-07-23,342.0,342.0,326.0,334.9,13863332.0
2024-07-24,335.25,339.0,334.6,334.7,8729363.0
2024-07-25,333.0,333.65,328.0,329.2,12201643.0
2024-07-26,329.85,336.65,329.55,331.9,9688122.0
2024-07-29,334.5,335.2,329.5,330.2,12628377.0
2024-07-30,331.0,331.75,329.1,329.35,8705901.0
2024-07-31,329.35,331.25,327.5,328.5,12402209.0
2024-08-01,329.0,332.9,328.25,328.7,13137038.0
2024-08-02,325.95,328.25,324.55,326.25,7284359.0
2024-08-05,317.95,322.2,315.0,317.05,16751766.0
2024-08-06,317.15,322.0,310.0,311.35,12640387.0
2024-08-07,316.45,337.2,313.3,329.75,20755735.0
2024-08-08,330.0,330.8,324.0,326.4,9648681.0
2024-08-09,330.2,330.5,324.5,325.6,7793704.0
2024-08-12,325.0,330.95,322.3,329.15,12463583.0
2024-08-13,329.5,336.5,322.0,323.3,15172143.0
2024-08-14,326.0,326.35,319.2,320.2,8040049.0
2024-08-16,324.0,329.55,319.55,328.15,16446600.0
2024-08-19,331.95,334.5,328.8,331.45,13708990.0
2024-08-20,332.4,337.95,332.0,334.15,15772046.0
2024-08-21,335.9,337.25,329.5,331.1,18916856.0
2024-08-22,332.2,333.4,328.9,329.6,8368346.0
